x-axis,F1
Hertz,dBV
+0.0E+00,-59.935444E+00
+5.000E+00,-59.935444E+00
+10.000E+00,-59.935444E+00
+15.000E+00,-59.935444E+00
+20.000E+00,-59.935444E+00
+25.000E+00,-59.935444E+00
+30.000E+00,-59.935444E+00
+35.000E+00,-59.935444E+00
+40.000E+00,-59.935444E+00
+45.000E+00,-59.935444E+00
+50.000E+00,-59.935444E+00
+55.000E+00,-59.935444E+00
+60.000E+00,-59.935444E+00
+65.000E+00,-59.935444E+00
+70.000E+00,-59.935444E+00
+75.000E+00,-59.935444E+00
+80.000E+00,-59.935444E+00
+85.000E+00,-59.935444E+00
+90.000E+00,-59.935444E+00
+95.000E+00,-59.935444E+00
+100.000E+00,-59.935444E+00
+105.000E+00,-59.935444E+00
+110.000E+00,-59.935444E+00
+115.000E+00,-59.935444E+00
+120.000E+00,-59.935444E+00
+125.000E+00,-59.935444E+00
+130.000E+00,-59.935444E+00
+135.000E+00,-59.935444E+00
+140.000E+00,-59.935444E+00
+145.000E+00,-59.935444E+00
+150.000E+00,-59.935444E+00
+155.000E+00,-59.935444E+00
+160.000E+00,-59.935444E+00
+165.000E+00,-59.935444E+00
+170.000E+00,-59.935444E+00
+175.000E+00,-59.935444E+00
+180.000E+00,-59.935444E+00
+185.000E+00,-59.935444E+00
+190.000E+00,-59.935444E+00
+195.000E+00,-59.935444E+00
+200.000E+00,-59.935444E+00
+205.000E+00,-59.935444E+00
+210.000E+00,-59.935444E+00
+215.000E+00,-59.935444E+00
+220.000E+00,-59.935444E+00
+225.000E+00,-59.935444E+00
+230.000E+00,-59.935444E+00
+235.000E+00,-59.935444E+00
+240.000E+00,-59.935444E+00
+245.000E+00,-59.935444E+00
+250.000E+00,-59.935444E+00
+255.000E+00,-59.935444E+00
+260.000E+00,-59.935444E+00
+265.000E+00,-59.935444E+00
+270.000E+00,-59.935444E+00
+275.000E+00,-59.935444E+00
+280.000E+00,-59.935444E+00
+285.000E+00,-59.935444E+00
+290.000E+00,-59.935444E+00
+295.000E+00,-59.935444E+00
+300.000E+00,-59.935444E+00
+305.000E+00,-59.935444E+00
+310.000E+00,-59.935444E+00
+315.000E+00,-59.935444E+00
+320.000E+00,-59.935444E+00
+325.000E+00,-59.935444E+00
+330.000E+00,-59.935444E+00
+335.000E+00,-59.935444E+00
+340.000E+00,-59.935444E+00
+345.000E+00,-59.935444E+00
+350.000E+00,-59.935444E+00
+355.000E+00,-59.935444E+00
+360.000E+00,-59.935444E+00
+365.000E+00,-59.935444E+00
+370.000E+00,-59.935444E+00
+375.000E+00,-59.935444E+00
+380.000E+00,-59.935444E+00
+385.000E+00,-59.935444E+00
+390.000E+00,-59.935444E+00
+395.000E+00,-59.935444E+00
+400.000E+00,-59.935444E+00
+405.000E+00,-59.935444E+00
+410.000E+00,-59.935444E+00
+415.000E+00,-59.935444E+00
+420.000E+00,-59.935444E+00
+425.000E+00,-59.935444E+00
+430.000E+00,-59.935444E+00
+435.000E+00,-59.935444E+00
+440.000E+00,-59.935444E+00
+445.000E+00,-59.935444E+00
+450.000E+00,-59.935444E+00
+455.000E+00,-59.935444E+00
+460.000E+00,-59.935444E+00
+465.000E+00,-59.935444E+00
+470.000E+00,-59.935444E+00
+475.000E+00,-59.935444E+00
+480.000E+00,-59.935444E+00
+485.000E+00,-59.935444E+00
+490.000E+00,-59.935444E+00
+495.000E+00,-59.935444E+00
+500.000E+00,-59.935444E+00
+505.000E+00,-59.935444E+00
+510.000E+00,-59.935444E+00
+515.000E+00,-59.935444E+00
+520.000E+00,-59.935444E+00
+525.000E+00,-59.935444E+00
+530.000E+00,-59.935444E+00
+535.000E+00,-59.935444E+00
+540.000E+00,-59.935444E+00
+545.000E+00,-59.935444E+00
+550.000E+00,-59.935444E+00
+555.000E+00,-59.935444E+00
+560.000E+00,-59.935444E+00
+565.000E+00,-59.935444E+00
+570.000E+00,-59.935444E+00
+575.000E+00,-59.935444E+00
+580.000E+00,-59.935444E+00
+585.000E+00,-59.935444E+00
+590.000E+00,-59.935444E+00
+595.000E+00,-59.935444E+00
+600.000E+00,-59.935444E+00
+605.000E+00,-59.935444E+00
+610.000E+00,-59.935444E+00
+615.000E+00,-59.935444E+00
+620.000E+00,-59.935444E+00
+625.000E+00,-59.935444E+00
+630.000E+00,-59.935444E+00
+635.000E+00,-59.935444E+00
+640.000E+00,-59.935444E+00
+645.000E+00,-59.935444E+00
+650.000E+00,-59.935444E+00
+655.000E+00,-59.935444E+00
+660.000E+00,-59.935444E+00
+665.000E+00,-59.935444E+00
+670.000E+00,-59.812981E+00
+675.000E+00,-59.560789E+00
+680.000E+00,-59.308597E+00
+685.000E+00,-59.056405E+00
+690.000E+00,-58.804213E+00
+695.000E+00,-58.552021E+00
+700.000E+00,-58.299829E+00
+705.000E+00,-58.047637E+00
+710.000E+00,-57.795445E+00
+715.000E+00,-57.543253E+00
+720.000E+00,-57.291061E+00
+725.000E+00,-57.038869E+00
+730.000E+00,-56.786677E+00
+735.000E+00,-56.534485E+00
+740.000E+00,-56.282293E+00
+745.000E+00,-56.030101E+00
+750.000E+00,-55.777909E+00
+755.000E+00,-55.525717E+00
+760.000E+00,-55.273525E+00
+765.000E+00,-54.736285E+00
+770.000E+00,-53.792413E+00
+775.000E+00,-52.848541E+00
+780.000E+00,-51.904669E+00
+785.000E+00,-50.960797E+00
+790.000E+00,-50.016925E+00
+795.000E+00,-49.073053E+00
+800.000E+00,-48.129181E+00
+805.000E+00,-47.185309E+00
+810.000E+00,-46.241437E+00
+815.000E+00,-45.297565E+00
+820.000E+00,-44.353693E+00
+825.000E+00,-43.409821E+00
+830.000E+00,-42.465949E+00
+835.000E+00,-41.522077E+00
+840.000E+00,-40.578205E+00
+845.000E+00,-39.634333E+00
+850.000E+00,-38.690461E+00
+855.000E+00,-37.746589E+00
+860.000E+00,-36.907305E+00
