x-axis,FFT
Hertz,dBV
-10.000E+00,
-5.000E+00,
+0.0E+00,-83.41675E+00
+5.000E+00,-87.25530E+00
+10.000E+00,-91.96099E+00
+15.000E+00,-91.94408E+00
+20.000E+00,-91.85317E+00
+25.000E+00,-92.03667E+00
+30.000E+00,-90.19045E+00
+35.000E+00,-95.07951E+00
+40.000E+00,-94.48965E+00
+45.000E+00,-99.80467E+00
+50.000E+00,-100.46039E+00
+55.000E+00,-96.17757E+00
+60.000E+00,-100.01835E+00
+65.000E+00,-103.48488E+00
+70.000E+00,-100.85787E+00
+75.000E+00,-102.04559E+00
+80.000E+00,-97.82724E+00
+85.000E+00,-102.33094E+00
+90.000E+00,-99.84219E+00
+95.000E+00,-98.95597E+00
+100.000E+00,-94.26627E+00
+105.000E+00,-97.05759E+00
+110.000E+00,-102.34853E+00
+115.000E+00,-96.03129E+00
+120.000E+00,-94.94808E+00
+125.000E+00,-95.48128E+00
+130.000E+00,-102.28226E+00
+135.000E+00,-105.90372E+00
+140.000E+00,-111.00418E+00
+145.000E+00,-104.34645E+00
+150.000E+00,-107.73842E+00
+155.000E+00,-106.99462E+00
+160.000E+00,-104.38843E+00
+165.000E+00,-100.77033E+00
+170.000E+00,-98.91470E+00
+175.000E+00,-98.99377E+00
+180.000E+00,-103.67457E+00
+185.000E+00,-97.46716E+00
+190.000E+00,-95.26965E+00
+195.000E+00,-96.11757E+00
+200.000E+00,-104.48273E+00
+205.000E+00,-105.55303E+00
+210.000E+00,-99.79997E+00
+215.000E+00,-94.90143E+00
+220.000E+00,-99.48508E+00
+225.000E+00,-103.00370E+00
+230.000E+00,-99.03627E+00
+235.000E+00,-102.32231E+00
+240.000E+00,-102.30671E+00
+245.000E+00,-102.34923E+00
+250.000E+00,-98.86813E+00
+255.000E+00,-100.21837E+00
+260.000E+00,-97.51887E+00
+265.000E+00,-96.23676E+00
+270.000E+00,-99.67550E+00
+275.000E+00,-103.04014E+00
+280.000E+00,-99.15608E+00
+285.000E+00,-97.59867E+00
+290.000E+00,-100.93501E+00
+295.000E+00,-103.67102E+00
+300.000E+00,-104.36943E+00
+305.000E+00,-99.34294E+00
+310.000E+00,-111.58812E+00
+315.000E+00,-99.35996E+00
+320.000E+00,-98.29286E+00
+325.000E+00,-98.52547E+00
+330.000E+00,-96.79497E+00
+335.000E+00,-95.85538E+00
+340.000E+00,-98.25440E+00
+345.000E+00,-102.45748E+00
+350.000E+00,-98.33659E+00
+355.000E+00,-95.46967E+00
+360.000E+00,-97.28872E+00
+365.000E+00,-97.00115E+00
+370.000E+00,-98.60428E+00
+375.000E+00,-101.27461E+00
+380.000E+00,-97.34176E+00
+385.000E+00,-91.63186E+00
+390.000E+00,-87.57923E+00
+395.000E+00,-84.54143E+00
+400.000E+00,-83.21312E+00
+405.000E+00,-80.45011E+00
+410.000E+00,-77.18989E+00
+415.000E+00,-74.26326E+00
+420.000E+00,-71.76013E+00
+425.000E+00,-69.35382E+00
+430.000E+00,-66.65514E+00
+435.000E+00,-64.53958E+00
+440.000E+00,-61.99703E+00
+445.000E+00,-60.07031E+00
+450.000E+00,-57.76628E+00
+455.000E+00,-55.90839E+00
+460.000E+00,-53.82783E+00
+465.000E+00,-51.94902E+00
+470.000E+00,-50.15164E+00
+475.000E+00,-48.40683E+00
+480.000E+00,-46.84275E+00
+485.000E+00,-45.28383E+00
+490.000E+00,-43.88309E+00
+495.000E+00,-42.67559E+00
+500.000E+00,-41.40237E+00
+505.000E+00,-40.60735E+00
+510.000E+00,-39.39872E+00
+515.000E+00,-39.12872E+00
+520.000E+00,-38.13173E+00
+525.000E+00,-38.25309E+00
+530.000E+00,-37.72954E+00
+535.000E+00,-38.23418E+00
+540.000E+00,-38.45939E+00
+545.000E+00,-39.53250E+00
+550.000E+00,-40.86593E+00
+555.000E+00,-43.33657E+00
+560.000E+00,-47.08122E+00
+565.000E+00,-57.72335E+00
+570.000E+00,-60.04206E+00
+575.000E+00,-49.09753E+00
+580.000E+00,-43.97418E+00
+585.000E+00,-41.72522E+00
+590.000E+00,-40.26674E+00
+595.000E+00,-40.32530E+00
+600.000E+00,-40.29850E+00
+605.000E+00,-42.68717E+00
+610.000E+00,-44.92100E+00
+615.000E+00,-52.50000E+00
+620.000E+00,-60.27690E+00
+625.000E+00,-48.16790E+00
+630.000E+00,-42.96742E+00
+635.000E+00,-41.89285E+00
+640.000E+00,-40.63319E+00
+645.000E+00,-41.95119E+00
+650.000E+00,-44.10187E+00
+655.000E+00,-52.37194E+00
+660.000E+00,-59.80790E+00
+665.000E+00,-50.39771E+00
+670.000E+00,-43.66600E+00
+675.000E+00,-42.02412E+00
+680.000E+00,-41.43677E+00
+685.000E+00,-43.80954E+00
+690.000E+00,-47.27539E+00
+695.000E+00,-55.11661E+00
+700.000E+00,-50.32369E+00
+705.000E+00,-44.59912E+00
+710.000E+00,-41.51927E+00
+715.000E+00,-42.78524E+00
+720.000E+00,-43.57431E+00
+725.000E+00,-50.82945E+00
+730.000E+00,-58.49096E+00
+735.000E+00,-47.36251E+00
+740.000E+00,-42.33200E+00
+745.000E+00,-42.72323E+00
+750.000E+00,-43.85827E+00
+755.000E+00,-54.17521E+00
+760.000E+00,-62.90700E+00
+765.000E+00,-48.23851E+00
+770.000E+00,-42.82838E+00
+775.000E+00,-43.04205E+00
+780.000E+00,-44.71952E+00
+785.000E+00,-54.81034E+00
+790.000E+00,-53.86070E+00
+795.000E+00,-45.82042E+00
+800.000E+00,-42.24312E+00
+805.000E+00,-44.47506E+00
+810.000E+00,-47.45329E+00
+815.000E+00,-54.72905E+00
+820.000E+00,-46.22123E+00
+825.000E+00,-44.16684E+00
+830.000E+00,-42.26134E+00
+835.000E+00,-48.39443E+00
+840.000E+00,-60.83708E+00
+845.000E+00,-49.80786E+00
+850.000E+00,-42.93057E+00
+855.000E+00,-44.05861E+00
+860.000E+00,-47.30953E+00
+865.000E+00,-49.98509E+00
+870.000E+00,-47.27063E+00
+875.000E+00,-44.21069E+00
+880.000E+00,-43.46162E+00
+885.000E+00,-52.84881E+00
+890.000E+00,-55.73696E+00
+895.000E+00,-47.25678E+00
+900.000E+00,-42.66885E+00
+905.000E+00,-46.71933E+00
+910.000E+00,-54.46462E+00
+915.000E+00,-49.51991E+00
+920.000E+00,-42.97126E+00
+925.000E+00,-45.06033E+00
+930.000E+00,-47.38248E+00
+935.000E+00,-54.72194E+00
+940.000E+00,-44.55942E+00
+945.000E+00,-44.68640E+00
